yaw,pitch,roll,accelx,accely,accelz
-51.52,0.64,-4.16,0.29,-1.44,9.13
-50.86,-0.76,-4.34,-0.68,-1.45,9.23
-49.74,-0.76,-4.83,-1.58,-1.36,8.88
-47.44,-0.68,-4.16,-1.19,-1.37,8.93
-45.59,-1.36,-2.06,-1.25,-0.68,9.64
-42.62,-5.47,0.11,-1.74,0.29,9.78
-37.16,-8.15,0.05,-0.41,0.4,9.67
-30.76,-10.39,0.11,0.64,0.23,9.77
-23.75,-11.31,-1.81,1.8,-0.25,9.8
-16.89,-10.4,-4.0,2.44,-0.87,9.79
-11.19,-8.42,-5.75,2.97,-1.24,9.8
-7.72,-6.74,-7.6,2.32,-1.28,9.25
-5.75,-6.05,-9.09,1.93,-1.23,8.58
-5.2,-6.19,-9.82,1.04,-1.08,7.65
-5.02,-5.89,-9.42,1.0,-0.71,7.27
-5.82,-6.5,-6.84,0.44,-0.11,6.64
-6.73,-6.52,-1.33,-0.18,0.65,6.72
-7.08,-5.29,5.98,-0.27,1.32,7.24
-6.62,-1.02,16.0,0.78,2.28,8.85
-7.89,1.48,25.67,0.27,3.25,9.52
-7.31,4.37,34.62,0.0,4.09,9.76
-5.51,6.67,42.31,1.71,3.68,9.8
-5.12,6.25,46.49,0.96,3.51,9.8
-3.29,5.04,45.97,0.7,3.19,9.81
-2.34,3.76,44.64,1.64,2.95,9.81
-2.9,2.08,43.11,1.6,2.8,9.57
-4.65,1.44,41.28,1.32,3.1,9.2
-7.16,0.78,39.21,1.83,3.48,8.63
-10.99,1.34,37.35,2.42,3.72,7.88
-16.78,2.88,36.52,3.01,3.81,7.84
-24.73,5.81,35.39,2.5,4.27,7.72
-33.21,10.77,34.62,2.29,4.73,7.62
-42.55,15.61,34.14,2.2,5.04,7.54
-52.38,19.34,33.66,1.25,5.28,7.57
-61.03,22.06,33.24,0.25,5.18,7.54
-67.34,23.62,33.46,-0.24,4.66,7.86
-72.09,23.73,33.68,-0.21,4.06,8.29
-75.22,22.83,33.51,0.17,3.43,8.65
-77.32,21.19,32.85,1.19,2.85,8.97
-79.2,19.37,31.73,1.64,2.49,9.22
-79.64,18.3,30.5,1.91,2.48,9.71
-79.5,16.8,28.57,1.92,2.65,9.79
-78.46,13.77,24.89,2.35,3.17,9.8
-77.36,10.95,18.41,3.19,3.43,9.81
-76.76,7.26,11.81,3.35,4.1,9.81
-76.23,3.73,4.02,2.45,4.96,9.81
-73.37,-0.52,-5.22,1.85,5.05,9.81
-68.4,-2.29,-15.71,2.19,3.93,9.27
-62.67,-2.84,-26.16,2.4,2.45,8.16
-57.31,-3.38,-36.01,1.72,0.79,6.32
-51.53,-3.81,-42.96,1.27,-0.6,5.22
-47.38,-3.49,-46.91,1.22,-1.54,4.89
-45.42,-3.79,-48.07,0.53,-2.18,4.96
-45.16,-3.37,-46.95,0.35,-2.72,5.78
-45.51,-2.36,-44.63,0.44,-3.1,7.06
-45.63,-0.78,-42.86,0.48,-3.34,7.5
-45.99,1.52,-41.05,1.0,-3.56,7.66
-47.09,1.86,-37.89,0.98,-3.27,8.25
-48.79,1.46,-34.96,0.41,-2.74,8.71
-50.25,1.6,-33.32,0.15,-2.14,8.04
